,y_test,y_pred
9209,198089,227729.37449758576
8665,277918,344489.5
103,245449,272515.6589692327
7436,211701,231150.94118968863
6661,69318,71953.52321175557
6787,238143,237577.5695213072
13415,165795,175110.50634920635
3891,750648,709507.6364944519
11533,88192,88935.48333333334
7665,232673,249081.94794115008
4441,315396,311150.3745470593
5932,970715,1041172.65
2339,271044,327412.1429337328
415,159227,160734.6
8692,373699,383237.0576278306
12065,57609,56460.74908119658
770,294598,292692.8271014493
506,163607,166451.55230158727
1952,439974,461197.4457671957
12894,284374,279541.43333333335
9942,79129,79432.77222222222
10851,43335,44224.01777777777
4223,83568,82802.85821152404
10593,47671,47812.74166666667
8609,212511,226189.07409922208
6721,154276,152211.44760958024
3634,130970,129452.14935182364
8925,280822,282678.39030113973
2959,344109,368602.16764543485
3427,215626,212234.28539248212
1918,343102,357208.48174344166
6432,206501,200800.62071935527
7962,326104,292145.22318519454
9931,957897,941872.5
1271,144148,152036.39612424505
6414,176703,188391.14754995244
11554,125676,133342.86666666667
10763,120219,115759.93365245595
8585,244675,245575.9842784993
12141,144866,145691.3573148148
8600,226015,239068.1334056477
4640,205011,207276.73170937964
158,404849,424250.66316239315
5881,810781,782726.4665428089
8105,669034,652170.4805336053
313,50828,50913.67333333333
10398,270682,269473.8943783069
977,112505,143133.64256410257
3917,725991,545814.9
836,438505,443751.325
3812,501662,524840.3484881711
13543,249432,246971.87428571426
1107,197427,201024.15653036578
5518,260017,256845.92071428572
5488,191388,203537.18965269154
11979,160571,160292.54111111112
6783,242823,240420.6516882144
12852,219094,223464.50707567084
1274,148553,205985.94871794872
2688,473140,473843.4230033227
5336,276191,262992.76884864795
9025,432566,448332.46623294347
8624,234597,234381.27163611984
11191,47550,47685.86666666667
2357,326504,357963.42416556296
11300,145187,143211.63333333333
3987,153165,139494.6184349253
3439,228688,227065.69823321124
10653,106437,105205.22222222222
6323,487844,475102.29582762625
127,305351,286866.0974110149
10433,257125,256859.72765863765
6351,78248,80426.95251633988
6831,228960,235285.32067811335
241,760550,769447.7777777779
5567,329443,315323.331005291
7784,377717,389953.4442736847
4249,97210,97026.96130202331
3743,369193,367245.75812909304
146,403144,456957.48444444436
10872,46873,46316.36666666667
6071,121774,113081.90147509579
3586,533173,549582.2397343979
1764,443018,434941.1445272477
7992,427191,418031.8522870099
8808,154792,203630.07717652718
5187,133955,140882.61287309788
5544,293762,290141.5195072016
7110,283608,291815.4372405458
5677,628362,669146.2082193368
6250,350119,343803.0233756502
5349,301046,286954.32566231594
2297,217848,218612.05943372345
5407,388292,410987.6794855536
8542,190195,211731.7814133282
10472,327717,340614.1
8243,213347,218405.04135908745
7686,274707,262710.23483330006
10619,55425,53406.49343434344
310,51514,51624.98555555556
1496,482244,479043.68333333335
9790,557076,483722.6666666667
1517,82210,80402.75044706128
11809,68165,75749.21666666666
1382,268663,273908.70026377635
4388,260775,264764.51308744674
4331,243283,248353.58413888048
4859,93383,97662.04021404944
4903,152206,154689.3852224636
4290,158930,154902.1961021673
8734,371626,464768.3
9494,380999,363818.1361904762
9593,609995,618644.7138888888
6929,82071,78758.49949735451
7649,230366,222700.45021789894
10992,151511,149511.73333333334
6554,400387,365942.90670480643
10214,578599,575543.1166666667
8738,66233,64093.474314905725
8995,465362,448540.01039201126
3995,161976,162854.73466562625
128,310906,300819.7212205388
3558,480168,509373.4628387086
7265,64176,71048.14971079846
1890,290461,289859.39696969703
12150,155412,156433.84465608466
6155,252041,254440.27144491128
2393,368735,377560.0884571822
9522,390480,386852.9
6613,512389,500348.6615332092
1931,379377,373001.52122596896
3398,160267,158186.89361111113
9820,590583,620753.9444444444
892,517093,517617.3205555555
9579,561530,589937.9333333333
9117,131280,121857.32444444444
12729,136468,122976.86254803675
5941,1067550,1102904.5644444444
5019,248750,255045.61383424563
